qseqid	sseqid	length	mismatch	gaps	qstart	qend	sstart	send	evalue	pident	qlen
Titin_reion	CAA62188.1	90	0	0	1	90	1036	1125	1.54E-60	100	90
Titin_reion	CAA62188.1	90	57	1	1	90	1411	1499	9.55E-15	35.556	90
Titin_reion	CAA62188.1	90	57	2	1	90	26637	26724	7.78E-14	34.444	90
Titin_reion	CAA62188.1	77	45	1	15	90	25207	25283	1.04E-13	40.26	90
Titin_reion	CAA62188.1	88	55	2	3	90	26066	26151	6.72E-13	35.227	90
Titin_reion	CAA62188.1	79	53	2	12	90	908	984	1.37E-11	30.38	90
Titin_reion	CAA62188.1	80	53	1	11	90	1255	1333	6.48E-11	32.5	90
Titin_reion	CAA62188.1	71	42	2	20	90	26374	26442	4.70E-10	38.028	90
Titin_reion	CAA62188.1	76	49	2	15	90	3207	3280	8.87E-10	32.895	90
Titin_reion	CAA62188.1	90	58	2	1	90	3457	3544	1.26E-09	33.333	90
Titin_reion	CAA62188.1	91	55	7	6	90	25297	25386	2.08E-09	31.868	90
Titin_reion	CAA62188.1	76	49	2	15	90	16747	16820	4.23E-09	32.895	90
Titin_reion	CAA62188.1	85	54	4	6	90	24043	24123	5.90E-09	31.765	90
Titin_reion	CAA62188.1	76	48	2	15	90	12813	12886	1.83E-08	34.211	90
Titin_reion	CAA62188.1	74	39	8	4	74	2576	2644	2.99E-08	36.486	90
Titin_reion	CAA62188.1	70	43	2	22	90	24452	24520	4.09E-08	35.714	90
Titin_reion	CAA62188.1	79	58	0	12	90	17	95	5.02E-08	26.582	90
Titin_reion	CAA62188.1	81	54	1	10	90	2041	2120	1.61E-07	32.099	90
Titin_reion	CAA62188.1	77	51	2	14	90	13499	13573	2.03E-07	31.169	90
Titin_reion	CAA62188.1	85	62	0	1	85	1510	1594	2.30E-07	27.059	90
Titin_reion	CAA62188.1	73	50	2	15	87	22565	22635	2.47E-07	28.767	90
Titin_reion	CAA62188.1	82	55	3	1	82	1795	1873	3.06E-07	29.268	90
Titin_reion	CAA62188.1	91	65	4	1	90	104	191	5.14E-07	24.176	90
Titin_reion	CAA62188.1	90	65	1	1	90	3575	3663	6.01E-07	26.667	90
Titin_reion	CAA62188.1	73	48	4	15	87	22964	23032	1.33E-06	28.767	90
Titin_reion	CAA62188.1	72	48	2	15	86	19994	20063	2.16E-06	30.556	90
Titin_reion	CAA62188.1	73	47	2	15	87	23256	23326	2.73E-06	32.877	90
Titin_reion	CAA62188.1	76	49	2	15	90	25891	25964	5.63E-06	32.895	90
Titin_reion	CAA62188.1	76	52	2	15	90	17829	17902	6.03E-06	28.947	90
Titin_reion	CAA62188.1	86	54	5	1	83	14566	14649	8.41E-06	31.395	90
Titin_reion	CAA62188.1	88	55	7	3	90	6057	6137	1.01E-05	29.545	90
Titin_reion	CAA62188.1	66	41	3	11	76	3022	3084	1.29E-05	33.333	90
Titin_reion	CAA62188.1	74	51	2	15	88	11426	11497	1.57E-05	28.378	90
Titin_reion	CAA62188.1	71	47	3	10	80	6335	6402	1.87E-05	29.577	90
Titin_reion	CAA62188.1	65	44	2	15	79	21081	21143	1.99E-05	29.231	90
Titin_reion	CAA62188.1	90	58	8	7	90	4337	4424	2.11E-05	26.667	90
Titin_reion	CAA62188.1	77	58	0	14	90	26845	26921	2.37E-05	24.675	90
Titin_reion	CAA62188.1	86	53	8	11	90	11018	11101	3.57E-05	29.07	90
Titin_reion	CAA62188.1	62	42	2	26	87	20800	20859	4.09E-05	29.032	90
Titin_reion	CAA62188.1	58	37	2	26	83	15676	15731	4.98E-05	32.759	90
Titin_reion	CAA62188.1	82	55	4	11	90	1667	1746	5.23E-05	28.049	90
Titin_reion	CAA62188.1	72	49	2	15	86	21476	21545	5.23E-05	29.167	90
Titin_reion	CAA62188.1	79	56	2	12	90	7901	7977	6.67E-05	26.582	90
Titin_reion	CAA62188.1	72	47	4	15	86	17542	17609	7.15E-05	29.167	90
Titin_reion	CAA62188.1	65	44	4	15	79	19704	19764	7.43E-05	26.154	90
Titin_reion	CAA62188.1	67	30	17	24	83	12133	12189	7.96E-05	29.851	90
Titin_reion	CAA62188.1	77	53	3	14	90	3312	3385	1.23E-04	27.273	90
Titin_reion	CAA62188.1	95	46	27	15	82	8197	8291	1.46E-04	23.158	90
Titin_reion	CAA62188.1	80	56	5	12	89	19303	19379	1.59E-04	23.75	90
Titin_reion	CAA62188.1	72	48	3	15	85	18225	18294	1.61E-04	29.167	90
Titin_reion	CAA62188.1	57	36	2	26	82	18923	18977	3.15E-04	33.333	90
Titin_reion	CAA62188.1	63	41	4	24	86	18634	18692	3.25E-04	28.571	90
Titin_reion	CAA62188.1	83	52	7	14	90	9633	9714	3.38E-04	28.916	90
Titin_reion	CAA62188.1	72	48	4	15	86	16460	16527	4.48E-04	27.778	90
Titin_reion	CAA62188.1	68	45	3	14	81	2849	2913	5.14E-04	29.412	90
Titin_reion	CAA62188.1	70	46	4	14	83	23653	23718	6.01E-04	28.571	90
Titin_reion	CAA62188.1	81	54	4	10	90	10731	10807	6.37E-04	28.395	90
Titin_reion	CAA62188.1	77	49	5	15	90	4636	4708	7.44E-04	29.87	90
Titin_reion	CAA62188.1	86	59	6	1	82	13879	13962	8.13E-04	24.419	90
Titin_reion	CAA62188.1	78	54	4	15	90	11719	11794	8.29E-04	25.641	90
Titin_reion	CAA62188.1	71	39	8	14	82	26555	26619	8.62E-04	33.803	90
Titin_reion	CAA62188.1	63	40	5	28	90	6530	6587	0.001	28.571	90
Titin_reion	CAA62188.1	75	49	4	1	74	5787	5858	0.001	29.333	90
Titin_reion	CAA62188.1	71	49	4	15	85	21875	21941	0.001	25.352	90
Titin_reion	CAA62188.1	53	35	1	33	84	3132	3184	0.001	32.075	90
Titin_reion	CAA62188.1	76	53	4	11	82	8912	8987	0.001	25	90
Titin_reion	CAA62188.1	75	51	3	3	77	2751	2822	0.002	28	90
Titin_reion	CAA62188.1	78	53	3	14	90	25084	25159	0.003	28.205	90
Titin_reion	CAA62188.1	79	54	3	3	81	5345	5420	0.004	27.848	90
Titin_reion	CAA62188.1	55	34	2	26	80	6923	6975	0.006	34.545	90
Titin_reion	CAA62188.1	60	37	5	20	78	5896	5951	0.007	30	90
Titin_reion	CAA62188.1	80	52	10	15	90	16061	16134	0.007	22.5	90
Titin_reion	CAA62188.1	71	51	4	15	85	14294	14360	0.007	22.535	90
Titin_reion	CAA62188.1	70	45	6	15	82	10336	10401	0.007	27.143	90
Titin_reion	CAA62188.1	73	52	2	15	87	20390	20460	0.007	26.027	90
Titin_reion	CAA62188.1	68	48	2	15	82	12416	12481	0.008	26.471	90
Titin_reion	CAA62188.1	71	51	2	12	82	14976	15044	0.008	25.352	90
Titin_reion	CAA62188.1	64	40	6	24	86	15387	15445	0.009	28.125	90
Titin_reion	CAA62188.1	72	52	2	15	86	7208	7277	0.01	25	90
Titin_reion	CAA62188.1	89	60	4	3	90	4244	4329	0.012	28.09	90
Titin_reion	CAA62188.1	80	58	3	11	90	8618	8694	0.012	23.75	90
Titin_reion	CAA62188.1	68	42	6	12	77	2410	2473	0.012	29.412	90
Titin_reion	CAA62188.1	81	51	7	10	90	5086	5159	0.013	28.395	90
Titin_reion	CAA62188.1	68	49	2	15	82	22165	22230	0.018	25	90
Titin_reion	CAA62188.1	75	48	8	1	73	5166	5234	0.02	25.333	90
Titin_reion	CAA62188.1	84	58	6	1	82	6414	6493	0.029	23.81	90
Titin_reion	CAA62188.1	75	49	5	1	74	5521	5591	0.041	28	90
Titin_reion	CAA62188.1	62	41	6	24	83	13220	13277	0.046	24.194	90
Titin_reion	CAA62188.1	68	46	3	10	77	2319	2383	0.046	27.941	90
Titin_reion	CAA62188.1	79	39	19	12	82	4727	4794	0.064	26.582	90
Titin_reion	CAA62188.1	47	33	2	34	80	2253	2297	0.077	25.532	90
Titin_reion	CAA62188.1	75	47	11	13	82	24543	24611	0.099	22.667	90
Titin_reion	CAA62188.1	68	47	4	20	86	2148	2212	0.1	25	90
Titin_reion	CAA62188.1	37	27	0	14	50	21286	21322	0.15	27.027	90
Titin_reion	CAA62188.1	79	58	3	11	89	6153	6228	0.2	22.785	90
Titin_reion	CAA62188.1	69	49	4	15	83	10042	10106	0.24	23.188	90
Titin_reion	CAA62188.1	72	52	4	15	85	17143	17211	0.25	22.222	90
Titin_reion	CAA62188.1	59	44	0	14	72	17348	17406	0.3	25.424	90
Titin_reion	CAA62188.1	65	38	7	13	75	6249	6308	0.37	30.769	90
